model_name	split	mac_precision	mac_recall	mac_f1	support	model_type	ds_size	seq_len	fold	best_val_score	epoch_stop	total_time
CNN_simple_fold0_50bp_2000seqs	train	0.7808499743983615	0.9961685823754788	0.864592798531692	1600	CNN_simple	2000	50	0	0.2130817613005638	401	31.89659285545349
CNN_simple_fold0_50bp_2000seqs	test	0.3680915371329878	0.3889173060528559	0.3756063756063756	400	CNN_simple	2000	50	0	0.2130817613005638	401	31.89659285545349
CNN_simple_fold2_300bp_2000seqs	train	0.7909612625538021	0.9776350226029026	0.8639068217180622	1600	CNN_simple	2000	300	2	0.6883831715583801	89	83.70904088020325
CNN_simple_fold2_300bp_2000seqs	test	0.3265722108740058	0.3256277056277056	0.3257383600108579	400	CNN_simple	2000	300	2	0.6883831715583801	89	83.70904088020325
2CNN_pool_fold0_50bp_2000seqs	train	0.6161490683229813	0.989995742869306	0.7249053240961431	1600	2CNN_pool	2000	50	0	0.2149708887934684	1173	79.07489490509033
2CNN_pool_fold0_50bp_2000seqs	test	0.3255613126079447	0.3213981244671782	0.3234663234663235	400	2CNN_pool	2000	50	0	0.2149708887934684	1173	79.07489490509033
2CNN_fold1_300bp_2000seqs	train	0.7069850193211961	0.9299233618625404	0.7808529125055736	1600	2CNN	2000	300	1	0.8444606947898865	178	42.224456787109375
2CNN_fold1_300bp_2000seqs	test	0.3060838616394172	0.296969696969697	0.2995523814313735	400	2CNN	2000	300	1	0.8444606947898865	178	42.224456787109375
2CNN_fold0_150bp_2000seqs	train	0.9058641975308642	0.995757981692342	0.9462852056380874	1600	2CNN	2000	150	0	0.5545338368415833	448	48.32482075691223
2CNN_fold0_150bp_2000seqs	test	0.3377508235998802	0.3339520175981301	0.3358064516129033	400	2CNN	2000	150	0	0.5545338368415833	448	48.32482075691223
2CNN_pool_fold0_150bp_6000seqs	train	0.933375104427736	0.9974786800148312	0.9633523725367628	4800	2CNN_pool	6000	150	0	0.110462040156126	3071	522.5963034629822
2CNN_pool_fold0_150bp_6000seqs	test	0.8047426693888902	0.8663287568981519	0.8321204544457604	1200	2CNN_pool	6000	150	0	0.110462040156126	3071	522.5963034629822
2CNN_pool_fold3_50bp_2000seqs	train	0.6930263596930263	0.9936143039591316	0.7963534403910456	1600	2CNN_pool	2000	50	3	0.2533538621664047	1385	88.14581394195557
